age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,outcome_object,location,operation,officer_defined_ethnicity,type,operation_name,object_of_search
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-04T20:18:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.541025', 'street': {'id': 964917, 'name': 'On or near Hawley Crescent'}, 'longitude': '-0.143231'}",False,Black,Person search,,Controlled drugs
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-04T21:20:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.541025', 'street': {'id': 964917, 'name': 'On or near Hawley Crescent'}, 'longitude': '-0.143231'}",False,White,Person search,,Controlled drugs
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-05T21:20:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.540605', 'street': {'id': 964911, 'name': 'On or near Stucley Place'}, 'longitude': '-0.143436'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-04T23:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530859', 'street': {'id': 960692, 'name': 'On or near Augustus Street'}, 'longitude': '-0.141814'}",False,Black,Person search,,Offensive weapons
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-05T00:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525084', 'street': {'id': 960650, 'name': 'On or near Tottenham Court Road'}, 'longitude': '-0.138344'}",False,Black,Person and Vehicle search,,Offensive weapons
25-34,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-05T11:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525084', 'street': {'id': 960650, 'name': 'On or near Tottenham Court Road'}, 'longitude': '-0.138344'}",False,Asian,Person search,,Offensive weapons
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-05T17:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539342', 'street': {'id': 964872, 'name': 'On or near Greenland Road'}, 'longitude': '-0.140921'}",False,Other,Person search,,Offensive weapons
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-05T18:19:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539342', 'street': {'id': 964872, 'name': 'On or near Greenland Road'}, 'longitude': '-0.140921'}",False,Other,Person search,,Offensive weapons
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-05T18:19:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539342', 'street': {'id': 964872, 'name': 'On or near Greenland Road'}, 'longitude': '-0.140921'}",False,Other,Person search,,Offensive weapons
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-05T17:55:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-05T19:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-04T23:48:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539681', 'street': {'id': 964928, 'name': 'On or near Nightclub'}, 'longitude': '-0.142998'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-06T01:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.541936', 'street': {'id': 964963, 'name': 'On or near Broadfield Lane'}, 'longitude': '-0.126437'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-06T01:17:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.542110', 'street': {'id': 964950, 'name': 'On or near Maiden Lane'}, 'longitude': '-0.127771'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-06T01:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.541378', 'street': {'id': 964637, 'name': 'On or near Kember Street'}, 'longitude': '-0.117447'}",False,Black,Person search,,Offensive weapons
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-06T23:56:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,White,Person search,,Offensive weapons
18-24,Penalty Notice for Disorder,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-07T01:45:00+00:00,,"{'id': 'bu-penalty-notice', 'name': 'Penalty Notice for Disorder'}","{'latitude': '51.539187', 'street': {'id': 964946, 'name': 'On or near Ploughmans Close'}, 'longitude': '-0.132289'}",False,Asian,Person and Vehicle search,,Controlled drugs
over 34,Penalty Notice for Disorder,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-07T12:29:00+00:00,,"{'id': 'bu-penalty-notice', 'name': 'Penalty Notice for Disorder'}","{'latitude': '51.527648', 'street': {'id': 960960, 'name': ""On or near Gray'S Inn Road""}, 'longitude': '-0.118676'}",False,White,Person and Vehicle search,,Controlled drugs
25-34,A no further action disposal,True,White - Irish,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-07T15:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.529117', 'street': {'id': 960542, 'name': 'On or near Judd Street'}, 'longitude': '-0.126199'}",False,White,Person search,,Controlled drugs
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-07T17:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530457', 'street': {'id': 960663, 'name': 'On or near Mackworth Street'}, 'longitude': '-0.140331'}",False,Black,Person search,,Controlled drugs
,Community resolution,False,,,Misuse of Drugs Act 1971 (section 23),,2019-05-07T14:55:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.526791', 'street': {'id': 960659, 'name': 'On or near Munster Square'}, 'longitude': '-0.142744'}",False,,Vehicle search,,Controlled drugs
18-24,Arrest,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-07T23:28:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.528009', 'street': {'id': 960566, 'name': 'On or near Churchway'}, 'longitude': '-0.129964'}",False,Black,Person search,,Controlled drugs
18-24,Community resolution,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-07T23:30:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.528009', 'street': {'id': 960566, 'name': 'On or near Churchway'}, 'longitude': '-0.129964'}",False,Other,Person search,,Controlled drugs
18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-08T00:00:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.528009', 'street': {'id': 960566, 'name': 'On or near Churchway'}, 'longitude': '-0.129964'}",False,Other,Person search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-08T09:50:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532630', 'street': {'id': 964998, 'name': 'On or near Harrington Square'}, 'longitude': '-0.138426'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-08T09:50:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532630', 'street': {'id': 964998, 'name': 'On or near Harrington Square'}, 'longitude': '-0.138426'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-03T21:11:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532450', 'street': {'id': 964975, 'name': 'On or near Neville Close'}, 'longitude': '-0.128225'}",False,White,Person search,,Offensive weapons
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-01T13:35:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,White,Person search,,Controlled drugs
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-08T15:10:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539681', 'street': {'id': 964928, 'name': 'On or near Nightclub'}, 'longitude': '-0.142998'}",False,Black,Person search,,Controlled drugs
25-34,Community resolution,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-08T15:08:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.526791', 'street': {'id': 960659, 'name': 'On or near Munster Square'}, 'longitude': '-0.142744'}",False,Asian,Person and Vehicle search,,Controlled drugs
25-34,Community resolution,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-08T15:00:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.526791', 'street': {'id': 960659, 'name': 'On or near Munster Square'}, 'longitude': '-0.142744'}",False,Other,Person and Vehicle search,,Controlled drugs
25-34,Arrest,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-08T15:10:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.539681', 'street': {'id': 964928, 'name': 'On or near Nightclub'}, 'longitude': '-0.142998'}",False,Black,Person search,,Offensive weapons
over 34,A no further action disposal,True,White - Any other White background,Female,Police and Criminal Evidence Act 1984 (section 1),,2019-05-08T15:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.527648', 'street': {'id': 960960, 'name': ""On or near Gray'S Inn Road""}, 'longitude': '-0.118676'}",False,White,Person search,,Stolen goods
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-09T11:50:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.529141', 'street': {'id': 960979, 'name': 'On or near Argyle Square'}, 'longitude': '-0.122017'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-09T18:03:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533015', 'street': {'id': 964996, 'name': 'On or near Lidlington Place'}, 'longitude': '-0.137184'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-09T21:22:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-09T21:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-10T04:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.548879', 'street': {'id': 967987, 'name': 'On or near A5200'}, 'longitude': '-0.129310'}",False,Black,Person and Vehicle search,,Controlled drugs
18-24,Penalty Notice for Disorder,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-10T04:30:00+00:00,,"{'id': 'bu-penalty-notice', 'name': 'Penalty Notice for Disorder'}","{'latitude': '51.548013', 'street': {'id': 967970, 'name': 'On or near Torriano Avenue'}, 'longitude': '-0.130832'}",False,Black,Person and Vehicle search,,Controlled drugs
